Title,URL,Authors,Companies,Issues,Sectors,Regions,Countries,Gender,Lawsuit Status
Talisman lawsuit (re Sudan),/bhrrc/latest-news/talisman-lawsuit-re-sudan-2/,Business & Human Rights Resource Centre,Talisman (part of Repsol),Alien Tort Claims Act (USA)|Displacement|Genocide|Killings|Lawsuits & regulatory action: General|Racial & ethnic groups|Security issues & conflict zones: General,Oil gas & coal,,SD|US,UNKNOWN,OPEN
Occidental lawsuit (re Colombia),/bhrrc/latest-news/occidental-lawsuit-re-colombia/,Business & Human Rights Resource Centre,AirScan|Occidental Petroleum,Complicity|Injuries|Killings|Security issues & conflict zones: General|Torture & ill-treatment,Oil gas & coal,,CO|US,UNKNOWN,CLOSED
Apartheid reparations lawsuits (re So. Africa),/bhrrc/latest-news/apartheid-reparations-lawsuits-re-so-africa/,Business & Human Rights Resource Centre,General Motors,Deaths|Racial & ethnic groups,Automobile & other motor vehicles,,US|ZA,UNKNOWN,CLOSED
Freeport-McMoRan lawsuits (re West Papua),/bhrrc/latest-news/freeport-mcmoran-lawsuits-re-west-papua/,Business & Human Rights Resource Centre,Freeport-McMoRan,Arbitrary detention|Environment: General|Security: General|Torture & ill-treatment,Mining,,ID|US,UNKNOWN,CLOSED
IBM lawsuit (Holocaust claim by Gypsies),/bhrrc/latest-news/ibm-lawsuit-holocaust-claim-by-gypsies/,Business & Human Rights Resource Centre,IBM,Complicity|Deaths|Genocide|Killings|Surveillance,Technology telecom & electronics,,CH|DE,UNKNOWN,CLOSED
German cos. lawsuit (by Hereros),/bhrrc/latest-news/german-cos-lawsuit-by-hereros/,Business & Human Rights Resource Centre,Deutsche Bank,Forced labour & modern slavery|Genocide|Racial/ethnic/caste/origin discrimination,Finance & banking,,NA|US,UNKNOWN,CLOSED
Cape/Gencor lawsuits (re So. Africa),/bhrrc/latest-news/capegencor-lawsuits-re-so-africa/,Business & Human Rights Resource Centre,Cape PLC|Gencor (mining),Environment: General|Health: General (including workplace health & safety),Asbestos|Mining,,GB|ZA,UNKNOWN,CLOSED
U.S. apparel cos. lawsuit (re Saipan),/bhrrc/latest-news/us-apparel-cos-lawsuit-re-saipan/,Business & Human Rights Resource Centre,,Labour: General,Clothing & textile,,US,UNKNOWN,CLOSED
Walmart lawsuit (re gender discrimination in USA),/bhrrc/latest-news/walmart-lawsuit-re-gender-discrimination-in-usa/,Business & Human Rights Resource Centre,Walmart,Gender discrimination|Labour: General,Retail,,US,FEMALE,OPEN
Fadeyeva v Russia (re Severstal smelter),/bhrrc/latest-news/fadeyeva-v-russia-re-severstal-smelter/,Business & Human Rights Resource Centre,Severstal,Environment: General|Health: General (including workplace health & safety),Metals & steel,,RU,UNKNOWN,OPEN
Blackwater USA lawsuit (re 16 Sep 2007 Baghdad incident),/bhrrc/latest-news/blackwater-usa-lawsuit-re-16-sep-2007-baghdad-incident/,Business & Human Rights Resource Centre,Academi (formerly Blackwater)|Blackwater|Xe (formerly Blackwater),Deaths|Killings|Lawsuits & regulatory action: General,Military/defence|Security companies,,IQ|US,UNKNOWN,OPEN
AngloGold Ashanti silicosis lawsuit (So. Africa),/bhrrc/latest-news/anglogold-ashanti-silicosis-lawsuit-so-africa-2/,Business & Human Rights Resource Centre,AngloGold Ashanti,Health: General (including workplace health & safety)|Illness|Lawsuits & regulatory action: General,Mining,,ZA,UNKNOWN,OPEN
Yahoo! lawsuit (re China),/bhrrc/latest-news/yahoo-lawsuit-re-china/,Business & Human Rights Resource Centre,Yahoo! (part of Verizon),Denial of freedom of expression,Internet & social media,,CN|US,UNKNOWN,CLOSED
Chiquita lawsuits (re Colombia filed in USA by Colombian nationals),/bhrrc/latest-news/chiquita-lawsuits-re-colombia/,Business & Human Rights Resource Centre,Chiquita,"Abduction|Access to information|Alien Tort Claims Act (USA)|Beatings & violence|Climate change|Complicity|Deaths|Death threats|""Disappearances""|Displacement|Environment: General|Geneva Conventions / Humanitarian law|Human trafficking|Injuries|Intimidation & threats|Judicial system|Killings|Labour: General|Lawsuits & regulatory action: General|Lawsuits: Selected cases|Legal accountability: General|Major reports & books|Poverty/Development/Economic & social rights: General|Privacy|Sanctions|Security issues & conflict zones: General|Socially-responsible investing & shareholder activism|Torture & ill-treatment|UN Guiding Principles on Business & Human Rights",Agriculture & livestock|Automobile & other motor vehicles|Chocolate & cocoa|Construction|Diversified/Conglomerates|Food & beverage|Military/defence|Mining|Oil gas & coal|Palm trees & oil|Security companies|Technology telecom & electronics,,CO|US,UNKNOWN,OPEN
Firestone lawsuit (re Liberia),/bhrrc/latest-news/firestone-lawsuit-re-liberia/,Business & Human Rights Resource Centre,Bridgestone-Firestone (part of Bridgestone),Child labour|Labour: General|Slavery,Rubber,,LR|US,UNKNOWN,CLOSED
BP lawsuit (re Colombia),/bhrrc/latest-news/bp-lawsuit-re-colombia/,Business & Human Rights Resource Centre,BP,Access to water|Land rights,Oil gas & coal,,CO|GB,UNKNOWN,CLOSED
Nokia lawsuit (re HBV discrimination in China),/bhrrc/latest-news/nokia-lawsuit-re-hbv-discrimination-in-china/,Business & Human Rights Resource Centre,Nokia,Access to information|Age discrimination|Arbitration|Company policies: General|Consumers: General|Core intl.  standards|Disability discrimination|Discrimination/diversity: General|Education|Environment: General|Gender discrimination|Health: General (including workplace health & safety)|Illness|Labour: General|Lawsuits & regulatory action: General|Local & state authorities|Migrant & immigrant workers|Poverty/Development/Economic & social rights: General|Security issues & conflict zones: General|Women,Finance & banking|Food & beverage|Jewellery|Technology telecom & electronics,,CN,UNKNOWN,CLOSED
Jeppesen lawsuit (re extraordinary rendition flights),/bhrrc/latest-news/jeppesen-lawsuit-re-extraordinary-rendition-flights/,Business & Human Rights Resource Centre,Jeppesen (part of Boeing),Arbitrary detention|Security issues & conflict zones: General|Torture & ill-treatment,Aircraft/Airline,,AF|CU|EG|MA|US,UNKNOWN,CLOSED
Vedanta Resources lawsuit (re Dongria Kondh in Orissa),/bhrrc/latest-news/vedanta-resources-lawsuit-re-dongria-kondh-in-orissa/,Business & Human Rights Resource Centre,Sterlite Industries (part of Vedanta Resources)|Vedanta Resources,Access to water|Free prior & informed consent|Land rights,Mining,,IN,UNKNOWN,CLOSED
KBR lawsuit (re human trafficking in Iraq),/bhrrc/latest-news/kbr-lawsuit-re-human-trafficking-in-iraq/,Business & Human Rights Resource Centre,Kellogg Brown & Root (KBR),Arbitrary detention|Forced labour & modern slavery|Human trafficking|Labour: General|Security issues & conflict zones: General,Security companies,,IQ|US,UNKNOWN,CLOSED
Coca-Cola lawsuit (re India),/bhrrc/latest-news/coca-cola-lawsuit-re-india/,Business & Human Rights Resource Centre,Coca-Cola,Access to water|Environment: General,Food & beverage,,IN,UNKNOWN,OPEN
Kivalina lawsuit (re global warming),/bhrrc/latest-news/kivalina-lawsuit-re-global-warming/,Business & Human Rights Resource Centre,AES|American Electric Power|Berkshire Hathaway|BP|Chevron|Cinergy (now Duke Energy)|ConocoPhillips|DTE Energy|Duke Energy|Edison International|ExxonMobil|MidAmerican Energy (part of Berkshire Hathaway)|Mirant (part of NRG Energy)|NRG Energy|Peabody Energy|Pinnacle West Capital|Reliant Energy|Royal Dutch Shell (Shell)|Southern Company|Xcel Energy,Climate change|Environment: General|Land rights,Oil gas & coal,,US,UNKNOWN,CLOSED
Barrick Gold lawsuit (re Western Shoshone tribes USA),/bhrrc/latest-news/barrick-gold-lawsuit-re-western-shoshone-tribes-usa/,Business & Human Rights Resource Centre,Barrick Gold,Access to water|Cultural issues|Environment: General|Health: General (including workplace health & safety)|Impact assessment|Indigenous peoples|Land rights|Lawsuits & regulatory action: General|Local & state authorities|Religion: General|Support for initiatives promoting development/economic & social rights: General,Mining,,US,UNKNOWN,CLOSED
Nishimatsu lawsuit (re World War II forced labour),/bhrrc/latest-news/nishimatsu-lawsuit-re-world-war-ii-forced-labour-2/,Business & Human Rights Resource Centre,Nishimatsu Construction,Forced labour & modern slavery|Health: General (including workplace health & safety)|Labour: General,Construction,,JP,UNKNOWN,CLOSED
Chisso Corporation lawsuit (re Minamata disease),/bhrrc/latest-news/chisso-corporation-lawsuit-re-minamata-disease/,Business & Human Rights Resource Centre,Chisso,Access to water|Environment: General|Health: General (including workplace health & safety),Metals & steel,,JP,UNKNOWN,CLOSED
Statoil lawsuit (re Human Rights Advisor),/bhrrc/latest-news/statoil-lawsuit-re-human-rights-advisor/,Business & Human Rights Resource Centre,Equinor (formerly Statoil),Company policies: General|Labour: General,Oil gas & coal,,NO|US,FEMALE,CLOSED
Abu Ghraib lawsuits against CACI Titan (now L-3),/bhrrc/latest-news/abu-ghraib-lawsuits-against-caci-titan-now-l-3/,Business & Human Rights Resource Centre,CACI|Engility (formerly part of L-3 Communications)|L-3 Communications|L-3 Titan (part of L-3 Communications)|Titan (now L-3 Titan),Beatings & violence|Rape & sexual abuse|Security issues & conflict zones: General|Torture & ill-treatment,Military/defence,,IQ|US,MALE,OPEN
Anvil Mining lawsuit (re complicity in Dem. Rep. of Congo filed in DRC),/bhrrc/latest-news/anvil-mining-lawsuit-re-dem-rep-of-congo-2/,Business & Human Rights Resource Centre,Anvil Mining (part of China Minmetals),Arbitrary detention|Beatings & violence|Complicity|Deaths|Killings|Rape & sexual abuse|Security issues & conflict zones: General|Torture & ill-treatment,Mining,,CD,UNKNOWN,CLOSED
Lidl lawsuit (re working conditions in Bangladesh),/bhrrc/latest-news/lidl-lawsuit-re-working-conditions-in-bangladesh/,Business & Human Rights Resource Centre,Lidl,Health: General (including workplace health & safety)|Labour: General|Supply chains,Clothing & textile,,BD|DE,FEMALE,CLOSED
Monterrico Metals lawsuit (re Peru),/bhrrc/latest-news/monterrico-metals-lawsuit-re-peru/,Business & Human Rights Resource Centre,Monterrico Metals (part of Zijin),Arbitrary detention|Beatings & violence|Security: General,Mining,,GB|PE,UNKNOWN,CLOSED
China Construction Bank lawsuit,/bhrrc/latest-news/china-construction-bank-lawsuit-2/,Business & Human Rights Resource Centre,China Construction Bank,Alien Tort Claims Act (USA)|Beatings & violence|Complicity|Injuries|Lawsuits & regulatory action: General|Rape & sexual abuse|Torture & ill-treatment,Finance & banking,,CN|US,UNKNOWN,OPEN
Sanlu lawsuits (re tainted milk in China),/bhrrc/latest-news/sanlu-lawsuits-re-tainted-milk-in-china/,Business & Human Rights Resource Centre,Fonterra|Sanlu,Deaths|Health: General (including workplace health & safety)|Illness,Food & beverage,,CN,UNKNOWN,CLOSED
KBR lawsuits (re alleged rapes in Iraq),/bhrrc/latest-news/kbr-lawsuits-re-alleged-rapes-in-iraq/,Business & Human Rights Resource Centre,Kellogg Brown & Root (KBR),Arbitrary detention|Labour: General|Rape & sexual abuse|Security issues & conflict zones: General,Security companies,,IQ|US,FEMALE,CLOSED
DLH lawsuit (re Liberian civil war),/bhrrc/latest-news/dlh-lawsuit-re-liberian-civil-war/,Business & Human Rights Resource Centre,DLH (Dalhoff Larsen & Horneman),Complicity|Security issues & conflict zones: General,Logging & lumber,,FR|LR,UNKNOWN,CLOSED
Cisco Systems lawsuits (re China),/bhrrc/latest-news/cisco-systems-lawsuits-re-china/,Business & Human Rights Resource Centre,Cisco Systems,Arbitrary detention|Denial of freedom of expression|Surveillance|Torture & ill-treatment,Technology telecom & electronics,,CN|US,UNKNOWN,OPEN
Amesys lawsuit (re Libya),/bhrrc/latest-news/amesys-lawsuit-re-libya/,Business & Human Rights Resource Centre,Bull (part of Atos)|Nexa Technologies (formerly AMESys (Advanced Middle East Systems)/Amesys (part of Bull)),Complicity|Lawsuits & regulatory action: General|Surveillance|Torture & ill-treatment,Technology telecom & electronics,,FR|LY,UNKNOWN,OPEN
Shell/BASF lawsuit (re Brazil),/bhrrc/latest-news/shellbasf-lawsuit-re-brazil/,Business & Human Rights Resource Centre,Royal Dutch Shell (Shell),Access to water|Environment: General|Health: General (including workplace health & safety),Oil gas & coal,,BR,UNKNOWN,CLOSED
Curaçao Drydock Company lawsuit (re forced labour),/bhrrc/latest-news/curaçao-drydock-company-lawsuit-re-forced-labour/,Business & Human Rights Resource Centre,Curacao Drydock,Forced labour & modern slavery|Labour: General|Slavery,Shipping ship-building & ship-scrapping,,CU|US,UNKNOWN,CLOSED
Copper Mesa Mining lawsuit (re Ecuador),/bhrrc/latest-news/copper-mesa-mining-lawsuit-re-ecuador/,Business & Human Rights Resource Centre,Copper Mesa Mining,Beatings & violence|Intimidation & threats,Mining,,CA|EC,UNKNOWN,CLOSED
Global Horizons lawsuit (re forced labour civil proceedings),/bhrrc/latest-news/global-horizons-lawsuits-re-forced-labour/,Business & Human Rights Resource Centre,Global Horizons,Forced labour & modern slavery|Labour: General|Slavery,Recruitment agencies,,US,UNKNOWN,CLOSED
Adidas lawsuit (re University of Wisconsin),/bhrrc/latest-news/adidas-lawsuit-re-university-of-wisconsin/,Business & Human Rights Resource Centre,adidas,Labour: General|Lawsuits & regulatory action: General|Living wage|Supply chains,Clothing & textile,,ID|US,UNKNOWN,CLOSED
Esmor Correctional Services lawsuit (re immigration detention facility),/bhrrc/latest-news/esmor-correctional-services-lawsuit-re-immigration-detention-facility/,Business & Human Rights Resource Centre,Correctional Services,Beatings & violence,Prison companies,,US,UNKNOWN,CLOSED
"PA Child Care lawsuits (re ""kids for cash"" scandal)",/bhrrc/latest-news/pa-child-care-lawsuits-re-kids-for-cash-scandal/,Business & Human Rights Resource Centre,,Arbitrary detention,Prison companies,,US,UNKNOWN,CLOSED
Nestlé lawsuit (re Colombia),/bhrrc/latest-news/nestlé-lawsuit-re-colombia/,Business & Human Rights Resource Centre,Nestlé,Killings|Labour: General|Security issues & conflict zones: General,Food & beverage,,CH|CO,UNKNOWN,OPEN
Gold miner silicosis litigation (re So. Africa),/bhrrc/latest-news/gold-miner-silicosis-litigation-re-so-africa/,Business & Human Rights Resource Centre,African Rainbow Minerals|Anglo American South Africa|AngloGold Ashanti|DRDGold|Gold Fields|Harmony Gold|JCI|Randgold (part of Barrick Gold),Health: General (including workplace health & safety)|Illness,Mining,,ZA,UNKNOWN,CLOSED
US Deepwater Horizon explosion & oil spill lawsuits,/bhrrc/latest-news/us-deepwater-horizon-explosion-oil-spill-lawsuits/,Business & Human Rights Resource Centre,,Deaths|Environment: General|Health: General (including workplace health & safety)|Killings|Labour: General,Oil gas & coal,,US,UNKNOWN,CLOSED
Eternit lawsuit (re asbestos exposure in Italy),/bhrrc/latest-news/lawsuit-against-eternit-re-asbestos-exposure-in-italy/,Business & Human Rights Resource Centre,Eternit (Switzerland),CEOs|Conferences & events: General|Deaths|Environment: General|European Court of Human Rights|Health: General (including workplace health & safety)|Illness|Injuries|Judicial system|Labour: General|Lawsuits & regulatory action: General|Legal accountability: General,Asbestos|Cement|Clothing & textile|Construction,,IT,UNKNOWN,OPEN
Anglo Platinum lawsuit (re displacement in So. Africa),/bhrrc/latest-news/anglo-platinum-lawsuit-re-displacement-in-so-africa/,Business & Human Rights Resource Centre,Anglo American|Anglo Platinum (part of Anglo American),Displacement|Land rights,Mining,,FR|ZA,UNKNOWN,CLOSED
Agua Mineral Chusmiza lawsuit (re Chile),/bhrrc/latest-news/agua-mineral-chusmiza-lawsuit-re-chile-2/,Business & Human Rights Resource Centre,,Access to water|Free prior & informed consent|Indigenous peoples|Lawsuits & regulatory action: General,Food & beverage,,CL,UNKNOWN,OPEN
Veolia & Alstom lawsuit (re Jerusalem rail project),/bhrrc/latest-news/veolia-alstom-lawsuit-re-jerusalem-rail-project/,Business & Human Rights Resource Centre,Alstom|Veolia Transport (now Transdev),Geneva Conventions / Humanitarian law|Security issues & conflict zones: General,Railroad,,FR|IL,UNKNOWN,CLOSED
Matanza Riachuelo lawsuit (re Argentina),/bhrrc/latest-news/matanza-riachuelo-lawsuit-re-argentina/,Business & Human Rights Resource Centre,Anheuser-Busch InBev|Daimler AG|Danone|Dow Chemical|Odfjell|Petrobras|Quilmes (part of Anheuser-Busch InBev)|Royal Dutch Shell (Shell)|Solvay,Access to water|Environment: General|Illness|Land rights,Chemical: General,,AR,UNKNOWN,CLOSED
Koh Kong sugar plantation lawsuits (re Cambodia),/bhrrc/latest-news/koh-kong-sugar-plantation-lawsuits-re-cambodia/,Business & Human Rights Resource Centre,Tate & Lyle,Displacement|Land rights|Supply chains,Sugar,,GB|KH,UNKNOWN,OPEN
Daimler lawsuit (re Argentina),/bhrrc/latest-news/daimler-lawsuit-re-argentina/,Business & Human Rights Resource Centre,Daimler AG,Beatings & violence|Deaths|Labour: General|Torture & ill-treatment,Automobile & other motor vehicles,,AR|US,UNKNOWN,CLOSED
SIFORCO lawsuit (re Dem. Rep. Congo filed in Dem. Rep. Congo),/bhrrc/latest-news/danzer-group-siforco-lawsuits-re-dem-rep-congo/,Business & Human Rights Resource Centre,SIFORCO (part of Blattner Group),Beatings & violence|Complicity|Land rights|Rape & sexual abuse,Logging & lumber,,CD,UNKNOWN,CLOSED
Thomson Safaris lawsuit (re Maasai in Tanzania filed in Tanzania),/bhrrc/latest-news/thomson-safaris-lawsuit-re-maasai-in-tanzania/,Business & Human Rights Resource Centre,Tanzania Breweries (part of SABMiller)|Tanzania Conservation (part of Wineland-Thomson Adventures),Cultural issues|Displacement|Free prior & informed consent|Land rights|Racial & ethnic groups,Tourism,,TZ,UNKNOWN,OPEN
African Barrick Gold lawsuit (re Tanzania),/bhrrc/latest-news/african-barrick-gold-lawsuit-re-tanzania/,Business & Human Rights Resource Centre,African Barrick Gold (now Acacia)|Barrick Gold,Complicity|Deaths|Injuries|Land rights|Lawsuits & regulatory action: General,Mining,,GB|TZ,UNKNOWN,OPEN
COMILOG lawsuit (re Gabon filed in Congo),/bhrrc/latest-news/comilog-lawsuit-re-gabon-2/,Business & Human Rights Resource Centre,Compagnie Minière de l'Ogooué (COMILOG) (part of ERAMET),Labour: General|Living wage,Mining,,CG,UNKNOWN,CLOSED
Argor-Heraeus investigation (re Dem. Rep. Congo),/bhrrc/latest-news/argor-heraeus-investigation-re-dem-rep-congo/,Business & Human Rights Resource Centre,Argor-Heraeus,Complicity|Lawsuits & regulatory action: General|Sanctions|Security issues & conflict zones: General,Metals & steel|Mining,,CD|CH,UNKNOWN,OPEN
Kaweri Coffee (part of Neumann Gruppe) lawsuit (re forced eviction in Uganda),/bhrrc/latest-news/kaweri-coffee-part-of-neumann-gruppe-lawsuit-re-forced-eviction-in-uganda/,Business & Human Rights Resource Centre,Kaweri (part of Neumann Gruppe)|Neumann Gruppe,Displacement|Land rights,Coffee,,UG,UNKNOWN,OPEN
Kenya Pipeline Company lawsuit (re explosion & fire in Nairobi),/bhrrc/latest-news/kenya-pipeline-company-lawsuit-re-explosion-fire-in-nairobi/,Business & Human Rights Resource Centre,Kenya Pipeline Company,Deaths|Environment: General|Injuries,Oil gas & coal,,KE,UNKNOWN,OPEN
Novartis lawsuit (re India patent law & access to medicine)(new),/bhrrc/latest-news/novartis-lawsuit-re-india-patent-law-access-to-medicine/,Business & Human Rights Resource Centre,Novartis,Access to medicines|Intellectual property,Pharmaceutical,,IN,UNKNOWN,CLOSED
Oktyabrskaya Railroad lawsuit (re sexual orientation discrimination in Russia),/bhrrc/latest-news/oktyabrskaya-railroad-lawsuit-re-sexual-orientation-discrimination-in-russia/,,,Discrimination/diversity: General|Labour: General|Lesbian gay bisexual & transgender (LGBT) people|Sexual orientation & gender identity (LGBT) discrimination,Railroad,,RU,UNKNOWN,CLOSED
Abbott Laboratories lawsuit (re Brazil patent law & access to medicines),/bhrrc/latest-news/abbott-laboratories-lawsuit-re-brazil-patent-law-access-to-medicines-2/,,Abbott Laboratories,Access to medicines|Health: General (including workplace health & safety)|HIV/AIDS,Pharmaceutical,,BR,UNKNOWN,OPEN
Lawsuit against Apple Google Tesla and others (re child labour DRC),/bhrrc/latest-news/lawsuit-against-apple-google-tesla-and-others-re-child-labour-drc/,,Alphabet|Apple|Dell|Google (part of Alphabet)|Microsoft|Tesla Motors,Child labour|Deaths|Forced labour & modern slavery|Labour: General|Supply chains,Technology telecom & electronics,,CD|US,UNKNOWN,OPEN
Anjin Investments Marange Resources & Diamond Mining Corporation lawsuit (re water pollution),/bhrrc/latest-news/anjin-investments-marange-resources-diamond-mining-corporation-lawsuit-re-water-pollution/,,Anjin (joint venture Anhui Foreign Economic Construction Zimbabwe Mining Development Corporation & Govt. of Zimbabwe)|Marange Resources (part of Zimbabwe Mining Development Corporation),Displacement|Environment: General|Health: General (including workplace health & safety)|Land rights,Diamond,,ZW,UNKNOWN,OPEN
NSO Group lawsuit (re hacking WhatsApp users),/bhrrc/latest-news/nso-group-lawsuit-re-hacking-whatsapp-users/,,Blackstone|Cisco Systems|Facebook|GitHub|Google (part of Alphabet)|LinkedIn (part of Microsoft)|Microsoft|NSO Group|VMware|WhatsApp (part of Facebook),Access to information|Beatings & violence|Denial of freedom of expression|Digital Freedoms|Freedom of association|Human Rights Defenders|Intimidation & threats|Killings|Lawsuits & regulatory action: General|Legal accountability: General|Privacy|Security: General|Surveillance,Internet & social media|Security companies|Technology: General|Technology telecom & electronics,,IL|US,UNKNOWN,OPEN
Oil Palm Uganda lawsuit (re land grabs in Uganda),/bhrrc/latest-news/oil-palm-uganda-lawsuit-re-land-grabs-in-uganda/,,Oil Palm Uganda,Displacement|Land rights,Palm trees & oil,,UG,UNKNOWN,OPEN
Class action lawsuit against Anglo American South Africa Ltd (re lead poisoning Zambia),/bhrrc/latest-news/lawsuit-against-anglo-american-south-africa-ltd-re-lead-poisoning-zambia/,,Anglo American|Anglo American South Africa,Access to medicines|Access to water|Children (issues other than child labour)|Deaths|Environment: General|General business & human rights|Health as a human right|Health: General (including workplace health & safety)|Illness|Lawsuits & regulatory action|Lawsuits & regulatory action: General|Legal accountability: General|Poverty/Development/Economic & social rights: General,Mining|Natural Resources: General,Africa,ZA|ZM,UNKNOWN,OPEN
Auchan lawsuit (re garment factories in Bangladesh),/bhrrc/latest-news/auchan-lawsuit-re-garment-factories-in-bangladesh/,,Auchan,Deaths|Labour: General|Supply chains,Clothing & textile,,BD|FR,UNKNOWN,OPEN
Anvil Mining lawsuit (re complicity in Dem. Rep. of Congo filed in Australia),/bhrrc/latest-news/anvil-mining-lawsuit-re-complicity-in-dem-rep-of-congo-filed-in-australia/,,Anvil Mining (part of China Minmetals),Arbitrary detention|Beatings & violence|Complicity|Deaths|Killings|Rape & sexual abuse|Security issues & conflict zones: General|Torture & ill-treatment,Mining,,AU|CD,UNKNOWN,CLOSED
Anvil Mining lawsuit (re complicity in Dem. Rep. of Congo filed in Canada),/bhrrc/latest-news/anvil-mining-lawsuit-re-complicity-in-dem-rep-of-congo-filed-in-canada/,,Anvil Mining (part of China Minmetals),Arbitrary detention|Beatings & violence|Complicity|Deaths|Killings|Rape & sexual abuse|Security issues & conflict zones: General|Torture & ill-treatment,Mining,,CA|CD,UNKNOWN,CLOSED
Cambodian villagers’ Intl. Criminal Court complaint (re land grabbing),/bhrrc/latest-news/cambodian-villagers-intl-criminal-court-complaint-re-land-grabbing/,,Government of Cambodia,Beatings & violence|Complicity|Displacement|Intl. Criminal Court|Land rights,Rubber|Sugar,,KH|NL,UNKNOWN,OPEN
Consórcio Norte Energia lawsuit (re Belo Monte dam in Brazil),/bhrrc/latest-news/consórcio-norte-energia-lawsuit-re-belo-monte-dam-in-brazil/,,Consórcio Norte Energia,Access to water|Displacement|Land rights,Hydropower & dam projects,,BR,UNKNOWN,OPEN
Anvil Mining lawsuit (re complicity in Dem. Rep. of Congo filed with the African Commission on Human and Peoples' Rights),/bhrrc/latest-news/anvil-mining-lawsuit-re-dem-rep-of-congo/,,Anvil Mining (part of China Minmetals),Arbitrary detention|Beatings & violence|Deaths|Killings|Rape & sexual abuse|Security issues & conflict zones: General|Torture & ill-treatment,Mining,,CD|GM,UNKNOWN,CLOSED
DJ Houghton lawsuit (re trafficked Lithuanian migrants),/bhrrc/latest-news/dj-houghton-lawsuit-re-trafficked-lithuanian-migrants/,,DJ Houghton,Beatings & violence|Forced labour & modern slavery|Labour: General,Agriculture & livestock,,GB,UNKNOWN,CLOSED
FIFA lawsuit (re migrant workers Qatar),/bhrrc/latest-news/fifa-lawsuit-re-migrant-workers-qatar/,,FIFA,Labour: General|Living wage,Sports teams clubs & leagues,,CH|QA,UNKNOWN,CLOSED
Cambior lawsuit (re Omai Gold mine filed in Canada),/bhrrc/latest-news/cambior-lawsuit-re-guyana-filed-in-canada/,,Cambior,Access to water|Environment: General|Health: General (including workplace health & safety),Mining,,CA|GY,UNKNOWN,CLOSED
Green Park Intl. lawsuit (re Bil’in villagers' land grabbing),/bhrrc/latest-news/green-park-intl-lawsuit-re-bilin-villagers-land-grabbing/,,Green Park International,Displacement|Land rights|Security issues & conflict zones: General,Construction,,CA|PS,UNKNOWN,CLOSED
Chiquita lawsuits (re payments to paramilitary groups filed in Colombia),/bhrrc/latest-news/chiquita-lawsuits-re-payments-to-paramilitary-groups-filed-in-colombia/,,Chiquita,Complicity|Deaths|Killings|Security issues & conflict zones: General,Agriculture & livestock,,CO,UNKNOWN,OPEN
